Chinese,Japanese,正しい日本語,
上传原件,オリジナルをアップロードする,原本をアップロード,FALSE
上架记录,レコードのリスト表示,棚卸記録,FALSE
下载地址：,ダウンロードアドレス:,ダウンロードURL：,FALSE
下载模板,テンプレートをダウンロード,テンプレートダウンロード,FALSE
业务经理,ビジネスマネージャー,営業マネージャー,FALSE
个产品超出库存设定范围,在庫設定範囲を超えた商品,商品が在庫設定範囲を超えています,FALSE
临期预警,賞味期限警告,期限切れ間近警告,FALSE
云打印服务(localhost本地)未安装启动,クラウド印刷サービス (localhost local) がインストールされておらず、起動されていません。,クラウド印刷サービス（localhostローカル）がインストールされていません,FALSE
云打印服务需升级,クラウド印刷サービスをアップグレードする必要がある,クラウド印刷サービスのアップグレードが必要,FALSE
产品,製品,商品,FALSE
产品 export function materialsOption(params),製品 エクスポート関数materialsOption(params),商品 エクスポート関数 materialsOption(params),FALSE
产品信息,製品情報,商品情報,FALSE
产品信息 export function getGoodsNumber(params),製品情報 エクスポート関数 getGoodsNumber(params),商品情報 エクスポート関数 getGoodsNumber(params),FALSE
产品信息 export function goodsInformationExport(params),製品情報 エクスポート機能 GoodsInformationExport(params),商品情報 エクスポート関数 goodsInformationExport(params),FALSE
产品信息 export function goodsInformationList(params),製品情報 エクスポート機能 GoodsInformationList(params),商品情報 エクスポート関数 goodsInformationList(params),FALSE
产品信息列表,製品情報一覧,商品情報一覧,FALSE
产品信息导入,製品情報のインポート,商品情報インポート,FALSE
产品信息导入 export function goodsInformationImport(data),製品情報のインポート 輸出機能商品情報輸入(データ),商品情報インポート エクスポート関数 goodsInformationImport(data),FALSE
产品信息导入模板,製品情報インポートテンプレート,商品情報インポートテンプレート,FALSE
产品信息模板,製品情報テンプレート,商品情報テンプレート,FALSE
产品信息模板 export function goodsInformationTemplate(params),製品情報テンプレート エクスポート機能商品情報テンプレート(params),商品情報テンプレート エクスポート関数 goodsInformationTemplate(params),FALSE
产品分类,製品分類,商品分類,FALSE
产品分类 export function goodsClassificationExport(params),製品分類 エクスポート機能 GoodsClassificationExport(params),商品分類 エクスポート関数 goodsClassificationExport(params),FALSE
产品分类 export function goodsClassificationList(params),製品分類 エクスポート機能 GoodsClassificationList(params),商品分類 エクスポート関数 goodsClassificationList(params),FALSE
产品分类 export function goodsClassificationOption(params),製品分類 エクスポート関数 GoodsClassificationOption(params),商品分類 エクスポート関数 goodsClassificationOption(params),FALSE
产品分类列表,製品カテゴリー一覧,商品分類一覧,FALSE
产品分类导入,製品分類のインポート,商品分類インポート,FALSE
产品分类导入 export function goodsClassificationImport(data),製品分類のインポート 輸出機能商品分類輸入(データ),商品分類インポート エクスポート関数 goodsClassificationImport(data),FALSE
产品分类导入模板,製品分類インポートテンプレート,商品分類インポートテンプレート,FALSE
产品分类模板,製品カテゴリのテンプレート,商品分類テンプレート,FALSE
产品分类模板 export function goodsClassificationTemplate(params),製品カテゴリのテンプレート エクスポート機能商品分類テンプレート(params),商品分類テンプレート エクスポート関数 goodsClassificationTemplate(params),FALSE
产品单位,製品単位,商品単位,FALSE
产品单位 export function goodsUnitExport(params),製品単位 エクスポート関数 GoodsUnitExport(params),商品単位 エクスポート関数 goodsUnitExport(params),FALSE
产品单位 export function goodsUnitList(params),製品単位 エクスポート関数 GoodsUnitList(params),商品単位 エクスポート関数 goodsUnitList(params),FALSE
产品单位 export function goodsUnitOption(params),製品単位 エクスポート関数 GoodsUnitOption(params),商品単位 エクスポート関数 goodsUnitOption(params),FALSE
产品单位列表,製品ユニット一覧,商品単位一覧,FALSE
产品单位导入,製品単位のインポート,商品単位インポート,FALSE
产品单位导入 export function goodsUnitImport(data),製品単位のインポート エクスポート機能 GoodsUnitImport(データ),商品単位インポート エクスポート関数 goodsUnitImport(data),FALSE
产品单位导入模板,製品単位インポートテンプレート,商品単位インポートテンプレート,FALSE
产品单位模板,製品単位テンプレート,商品単位テンプレート,FALSE
产品单位模板 export function goodsUnitTemplate(params),製品単位テンプレート エクスポート機能グッズUnitTemplate(params),商品単位テンプレート エクスポート関数 goodsUnitTemplate(params),FALSE
产品名称,製品名,商品名,FALSE
产品已存在,製品はすでに存在します,商品は既に存在します,FALSE
产品批次,製品バッチ,商品ロット,FALSE
产品数量,製品数量,商品数量,FALSE
产品数量需要大于0,製品数量は 0 より大きい必要があります,商品数量は0より大きい必要があります,FALSE
产品条码,製品バーコード,商品バーコード,FALSE
产品管理,製品管理,商品管理,FALSE
产品编号,製品番号,商品コード,FALSE
产品详细介绍,製品詳細,商品詳細説明,FALSE
产品选择,製品の選択,商品選択,FALSE
产品选项,製品オプション,商品オプション,FALSE
产品选项 export function goodsOption(params),製品オプション エクスポート関数 GoodsOption(params),商品オプション エクスポート関数 goodsOption(params),FALSE
产品选项 export function inventoriesOption(params),製品オプション エクスポート関数 inventoriesOption(params),商品オプション エクスポート関数 inventoriesOption(params),FALSE
今日已完成,本日完了しました,本日完了,FALSE
今日采购笔数,今日の買い物,本日購買件数,FALSE
今日销售笔数,本日の売上,本日販売件数,FALSE
今日销售额,本日の売上,本日売上高,FALSE
仓库 export function warehousesOption(params),倉庫 エクスポート関数のウェアハウスOption(params),倉庫 エクスポート関数 warehousesOption(params),FALSE
仓库字典列表,倉庫辞書リスト,倉庫マスタ一覧,FALSE
仓库字典导入模板,ウェアハウス辞書インポートテンプレート,倉庫マスタインポートテンプレート,FALSE
仓库导入,倉庫輸入,倉庫インポート,FALSE
仓库导入 export function warehouseImport(data),倉庫輸入 エクスポート関数warehouseImport(data),倉庫インポート エクスポート関数 warehouseImport(data),FALSE
付款,支払,支払い,FALSE
付款业务,決済事業,支払業務,FALSE
付款单,支払い命令,支払伝票,FALSE
付款单 export function getPaymentOrderNumber(params),支払い命令 エクスポート関数 getPaymentOrderNumber(params),支払伝票 エクスポート関数 getPaymentOrderNumber(params),FALSE
付款单创建,支払い注文の作成,支払伝票作成,FALSE
付款单据,支払書類,支払伝票,FALSE
付款单详情,支払い注文の詳細,支払伝票詳細,FALSE
付款新增,新規支払い,支払新規登録,FALSE
