Chinese,Japanese,正しい日本語,
上传产品图片,製品画像をアップロードする,,
"上传产品图片
export function contractOriginalFiles(data)","製品画像をアップロードする
エクスポート関数contractOriginalFiles(data)",,
上传原件,オリジナルをアップロードする,原本をアップロードする,
上传图纸,図面をアップロードする,,
上传复印件,コピーをアップロードする,,
上架记录,レコードのリスト表示,棚入れ記録,
下载地址：,ダウンロードアドレス:,,
下载模板,テンプレートをダウンロード,,
业务经理,ビジネスマネージャー,,
两次输入密码不一致,2回入力したパスワードは一致しません,,
个产品超出库存设定范围,在庫設定範囲を超えた商品,,
临期预警,賞味期限警告,期限近い警告,
主数据管理,マスターデータ管理,,
云打印服务(localhost本地)未安装启动,クラウド印刷サービス (localhost local) がインストールされておらず、起動されていません。,,
云打印服务需升级,クラウド印刷サービスをアップグレードする必要がある,,
产品,製品,,
"产品
export function materialsOption(params)","製品
エクスポート関数materialsOption(params)",,
产品信息,製品情報,,
"产品信息
export function getGoodsNumber(params)","製品情報
エクスポート関数 getGoodsNumber(params)",,
"产品信息
export function goodsInformationExport(params)","製品情報
エクスポート機能 GoodsInformationExport(params)",,
"产品信息
export function goodsInformationList(params)","製品情報
エクスポート機能 GoodsInformationList(params)",,
产品信息列表,製品情報一覧,,
产品信息导入,製品情報のインポート,,
"产品信息导入
export function goodsInformationImport(data)","製品情報のインポート
輸出機能商品情報輸入(データ)",,
产品信息导入模板,製品情報インポートテンプレート,,
产品信息模板,製品情報テンプレート,,
"产品信息模板
export function goodsInformationTemplate(params)","製品情報テンプレート
エクスポート機能商品情報テンプレート(params)",,
产品分类,製品分類,,
"产品分类
export function goodsClassificationExport(params)","製品分類
エクスポート機能 GoodsClassificationExport(params)",,
"产品分类
export function goodsClassificationList(params)","製品分類
エクスポート機能 GoodsClassificationList(params)",,
"产品分类
export function goodsClassificationOption(params)","製品分類
エクスポート関数 GoodsClassificationOption(params)",,
产品分类列表,製品カテゴリー一覧,,
产品分类导入,製品分類のインポート,製品分類一覧,
"产品分类导入
export function goodsClassificationImport(data)","製品分類のインポート
輸出機能商品分類輸入(データ)",,
产品分类导入模板,製品分類インポートテンプレート,,
产品分类模板,製品カテゴリのテンプレート,製品分類テンプレート,
"产品分类模板
export function goodsClassificationTemplate(params)","製品カテゴリのテンプレート
エクスポート機能商品分類テンプレート(params)",,
产品单位,製品単位,,
"产品单位
export function goodsUnitExport(params)","製品単位
エクスポート関数 GoodsUnitExport(params)",,
"产品单位
export function goodsUnitList(params)","製品単位
エクスポート関数 GoodsUnitList(params)",,
"产品单位
export function goodsUnitOption(params)","製品単位
エクスポート関数 GoodsUnitOption(params)",,
产品单位列表,製品ユニット一覧,製品単位一覧,
产品单位导入,製品単位のインポート,,
"产品单位导入
export function goodsUnitImport(data)","製品単位のインポート
エクスポート機能 GoodsUnitImport(データ)",,
产品单位导入模板,製品単位インポートテンプレート,,
产品单位模板,製品単位テンプレート,,
"产品单位模板
export function goodsUnitTemplate(params)","製品単位テンプレート
エクスポート機能グッズUnitTemplate(params)",,
产品名称,製品名,,
产品已存在,製品はすでに存在します,,
产品批次,製品バッチ,製品ロット№,
产品数量,製品数量,,
产品数量需要大于0,製品数量は 0 より大きい必要があります,,
产品条码,製品バーコード,,
产品管理,製品管理,,
产品编号,製品番号,,
产品详细介绍,製品詳細,,
产品选择,製品の選択,,
产品选项,製品オプション,,
"产品选项
export function goodsOption(params)","製品オプション
エクスポート関数 GoodsOption(params)",,
"产品选项
export function inventoriesOption(params)","製品オプション
エクスポート関数 inventoriesOption(params)",,
今日,今日,,
今日已完成,本日完了しました,,
今日采购笔数,今日の買い物,今日購入回数,
今日销售笔数,本日の売上,今日納入回数,
今日销售额,本日の売上,,
仓库,倉庫,,
"仓库
export function getWarehouseNumber(params)","倉庫
エクスポート関数 getWarehouseNumber(params)",,
"仓库
export function warehouseExport(params)","倉庫
エクスポート関数warehouseExport(params)",,
"仓库
export function warehouseList(params)","倉庫
エクスポート関数warehouseList(params)",,
"仓库
export function warehousesOption(params)","倉庫
エクスポート関数のウェアハウスOption(params)",,
仓库名称,倉庫名,,
仓库字典列表,倉庫辞書リスト,,
仓库字典导入模板,ウェアハウス辞書インポートテンプレート,倉庫辞書インポートテンプレート,
仓库导入,倉庫輸入,倉庫辞書インポート,
"仓库导入
export function warehouseImport(data)","倉庫輸入
エクスポート関数warehouseImport(data)","倉庫インポート
エクスポート関数warehouseImport(data)",
仓库模板,倉庫テンプレート,,
"仓库模板
export function warehouseTemplate(params)","倉庫テンプレート
エクスポート関数warehouseTemplate(params)",,
仓库管理,倉庫管理,,
仓库编号,倉庫番号,,
付款,支払,,
"付款
export function paymentOrdersList(params)","支払い
エクスポート関数paymentOrdersList(params)",,
付款业务,決済事業,支払業務,
付款单,支払い命令,支払伝票,
"付款单
export function getPaymentOrderNumber(params)","支払い命令
エクスポート関数 getPaymentOrderNumber(params)","支払伝票
エクスポート関数 getPaymentOrderNumber(params)",
付款单创建,支払い注文の作成,支払伝票作成,
付款单据,支払書類,,
付款单详情,支払い注文の詳細,支払伝票詳細,
付款新增,新規支払い,,
"付款新增
export function paymentOrderCreate(data)","新規支払い
エクスポート関数paymentOrderCreate(data)",,
付款编号,支払い番号,,
付款记录作废,支払記録が無効です,,
"付款记录作废
export function paymentOrdersVoid(data)","支払記録が無効です
エクスポート関数paymentOrdersVoid(data)",,
付款详情,お支払い詳細,,
"付款详情
export function paymentOrderDetail(params)","お支払い詳細
エクスポート関数paymentOrderDetail(params)",,
付款金额,支払金額,,
付款金额(元),支払金額（元）,支払金額（円）,
付款金额合计：,お支払い総額:,,
付金额,お支払い金額,,
付金额(元),支払金額（元）,支払金額（円）,
付金额格式不正确,支払い金額の形式が間違っています,,
令牌过期,トークンの有効期限が切れる,,
价格管理,価格管理,,
优惠金额,割引額,,
优惠金额格式不正确,割引額の形式が間違っています,,
作废,空所,取り消し,
作废付款单据,支払い文書を無効にする,無効な支払伝票,
作废入库通知单号,無効倉庫通知番号,,
作废出库通知单号,無効化された配送通知番号,無効化配送通知番号,
作废成功,キャンセルが成功しました,取り消し成功しました,
作废收支单据,領収書と支払い書類を無効にする,無効な領収書支払伝票,
作废收款单据,支払い領収書を無効にする,無効領収書,
作废盘点单号,無効化された在庫注文番号,無効棚卸伝票番号,
作废调拨单号,無効な転送オーダー番号です,無効調達伝票番号,
作废采购单号,注文書番号を無効にします,無効注文書番号,
作废采购退货单号,購入返品注文番号を無効にします,無効購入返品伝票番号,
作废销售单号,無効な販売注文番号です,無効販売伝票番号,
作废销售退货单号,無効な販売返品注文番号,,
使用服务器的后端,サーバーのバックエンドの使用,サーバーのバックエンドを使用する,
使用本地的后端,ローカルバックエンドを使用する,,
"使用本地的后端
    baseURL","ローカルバックエンドを使用する
    ベースURL",,
供应商,仕入先,,
"供应商
export function getSupplierNumber(params)","サプライヤー
エクスポート関数 getSupplierNumber(params)",,
"供应商
export function supplierArrearsOption(params)","サプライヤー
エクスポート関数supplierArrearsOption(params)",,
"供应商
export function supplierExport(params)","サプライヤー
エクスポート関数supplierExport(params)",,
"供应商
export function supplierList(params)","サプライヤー
エクスポート関数supplierList(params)",,
"供应商
export function suppliersOption(params)","サプライヤー
エクスポート関数suppliersOption(params)",,
供应商列表,サプライヤーリスト,,
供应商名称,サプライヤー名,,
供应商导入,サプライヤーの輸入,サプライヤーインポート,
"供应商导入
export function supplierImport(data)","サプライヤーの輸入
エクスポート関数supplierImport(data)","サプライヤーインポート
エクスポート関数supplierImport(data)",
供应商导入模板,サプライヤーインポートテンプレート,,
供应商模板,サプライヤーテンプレート,,
"供应商模板
export function supplierTemplate(params)","サプライヤーテンプレート
エクスポート関数supplierTemplate(params)",,
供应商管理,仕入先管理,,
供应商编号,サプライヤー番号,,
保存,保存,,
保存成功,保存に成功しました,,
保质期天数,賞味期限日数,,
保质期预警天数,賞味期限警告日,賞味期限警告日数,
修改密码,パスワードを変更する,,
修改成功,変更が成功しました,,
元）,元）,円）,
入库,倉庫,入庫,
"入库
export function stockInCreate(data)","倉庫
エクスポート関数stockInCreate(データ)","入庫
エクスポート関数stockInCreate(データ)",
入库业务,倉庫業,入庫業業務,
入库仓库,入荷倉庫,入庫業倉庫,
入库任务,入庫タスク,,
"入库任务
export function stockInOrdersList(params)","倉庫作業
エクスポート関数stockInOrdersList(params)","入庫タスク
エクスポート関数stockInOrdersList(params)",
入库任务提醒,倉庫作業リマインダー,入庫作業リマインダー,
"入库任务提醒
export function stockInList(params)","倉庫作業リマインダー
エクスポート関数stockInList(params)","入庫作業リマインダー
エクスポート関数stockInList(params)",
入库创建,倉庫の作成,入庫の作成,
入库剩余数量,残り在庫数,入庫残数,
入库单,倉庫受領書,,
入库完成状态,入庫完了状況,,
入库总数,総倉庫数,入庫数総計,
入库数量,入荷数量,入庫数量,
入库类型,倉庫タイプ,,
入库编号,倉庫番号,入庫番号,
入库记录,入庫記録,,
"入库记录
export function stockInRecordsList(params)","入庫記録
エクスポート関数stockInRecordsList(params)",,
入库记录作废,倉庫レコードが無効です,入庫記録を取り消す,
"入库记录作废
export function stockInOrdersVoid(data)","倉庫レコードが無効です
エクスポート関数stockInOrdersVoid(data)","入庫記録を取り消す
エクスポート関数stockInOrdersVoid(data)",
入库记录详情,入庫記録詳細,,
"入库记录详情
export function stockInRecordDetail(params)","入庫記録詳細
エクスポート関数stockInRecordDetail(params)",,
入库通知单,入庫通知,,
入库通知单号,倉庫届出番号,入庫通知番号,
入库通知单据,入庫届出書,,
"入库通知单据
export function stockInOrderDetail(params)","入庫届出書
エクスポート関数stockInOrderDetail(params)",,
入库通知单详情,倉庫通知の詳細,入庫通知詳細,
共,一般,総計,
关闭,閉鎖,,
关闭工单,チケットを閉じる,加工指示書を停止する,
关闭成功,正常に終了しました,,
其他,他の,その他,
其他作业,その他の宿題,その他の作業,
其他费用,その他の費用,,
其他费用格式不正确,その他の経費の形式が正しくありません,,
冻结,フリーズする,,
出入库作业,インバウンドおよびアウトバウンド業務,入出庫作業,
出入库历史,インバウンドとアウトバウンドの履歴,入出庫履歴,
出库,倉庫から出た,出庫,
"出库
export function stockOutCreate(data)","倉庫から出た
エクスポート関数stockOutCreate(data)","出庫
エクスポート関数stockOutCreate(data)",
出库业务,アウトバウンド事業,出庫業務,
出库仓库,出荷倉庫,出庫倉庫,
出库任务,出庫タスク,,
"出库任务
export function stockOutOrdersList(params)","アウトバウンドタスク
エクスポート関数stockOutOrdersList(params)","出庫タスク
エクスポート関数stockOutOrdersList(params)",
出库任务提醒,アウトバウンドタスクリマインダー,出庫タスク警告,
"出库任务提醒
export function stockOutList(params)","アウトバウンドタスクリマインダー
エクスポート関数stockOutList(params)","出庫タスク警告
エクスポート関数stockOutList(params)",
出库创建,アウトバウンド作成,出庫作成,
出库剩余数量,残り出荷数量,,
出库单,アウトバウンド注文,出庫伝票,
出库完成状态,アウトバウンド完了ステータス,出庫完了状態,
出库总数,総出荷数,,
出库数量,出荷数量,,
出库类型,アウトバウンド型,出庫タイプ,
出库编号,配送番号,出庫番号,
出库记录,アウトバウンドレコード,出庫記録,
"出库记录
export function stockOutRecordsList(params)","アウトバウンドレコード
エクスポート関数stockOutRecordsList(params)","出庫記録
エクスポート関数stockOutRecordsList(params)",
出库记录作废,送信レコードが無効です,出庫記録を取り消す,
"出库记录作废
export function stockOutOrdersVoid(data)","送信レコードが無効です
エクスポート関数stockOutOrdersVoid(data)","出庫記録を取り消す
エクスポート関数stockOutOrdersVoid(data)",
出库记录详情,送信レコードの詳細,出庫記録詳細,
"出库记录详情
export function stockOutRecordDetail(params)","送信レコードの詳細
エクスポート関数stockOutRecordDetail(params)","出庫記録詳細
エクスポート関数stockOutRecordDetail(params)",
出库通知单,アウトバウンド通知,出庫通知,
出库通知单号,アウトバウンド通知番号,出庫通知番号,
出库通知单据,アウトバウンド通知文書,出庫通知伝票,
"出库通知单据
export function stockOutOrderDetail(params)","アウトバウンド通知文書
エクスポート関数stockOutOrderDetail(params)","出庫通知伝票
エクスポート関数stockOutOrderDetail(params)",ここまで直した
出库通知单详情,アウトバウンド通知の詳細,出庫通知詳細,
出错,エラー,,
分类,分類,,
分类名称,カテゴリ名,,
创建人,クリエイター,,
创建成功,正常に作成されました,,
创建日期,作成日,,
创建时间,作成時間,,
初始库存,初期在庫,,
